# This file lists of the beamformer sweet spots
# The gridpoint_number is an MWA-specific identifier
# Azimuth angle (AZ) increases clockwise from north (AZ = 0 is local north, AZ = 90 is east etc.).
# Delay calculations of the perfect beamformer pointings using a nominal value of 435 picoseconds 
# for each delay-line step on the delay boards.
#azimuth,zenith_angle,gridpoint_number,delays
120.9638,43.7329,103,0,5,10,15,3,8,13,18,6,11,16,21,9,14,19,24
149.0362,43.7329,104,0,3,6,9,5,8,11,14,10,13,16,19,15,18,21,24
210.9638,43.7329,105,9,6,3,0,14,11,8,5,19,16,13,10,24,21,18,15
239.0362,43.7329,106,15,10,5,0,18,13,8,3,21,16,11,6,24,19,14,9
300.9638,43.7329,107,24,19,14,9,21,16,11,6,18,13,8,3,15,10,5,0
329.0362,43.7329,108,24,21,18,15,19,16,13,10,14,11,8,5,9,6,3,0
0,45.344,109,18,18,18,18,12,12,12,12,6,6,6,6,0,0,0,0
90,45.344,110,0,6,12,18,0,6,12,18,0,6,12,18,0,6,12,18
180,45.344,111,0,0,0,0,6,6,6,6,12,12,12,12,18,18,18,18
270,45.344,112,18,12,6,0,18,12,6,0,18,12,6,0,18,12,6,0
9.4623,46.1496,113,18,19,20,21,12,13,14,15,6,7,8,9,0,1,2,3
80.5377,46.1496,114,3,9,15,21,2,8,14,20,1,7,13,19,0,6,12,18
99.4623,46.1496,115,0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21
170.5377,46.1496,116,0,1,2,3,6,7,8,9,12,13,14,15,18,19,20,21
189.4623,46.1496,117,3,2,1,0,9,8,7,6,15,14,13,12,21,20,19,18
260.5377,46.1496,118,18,12,6,0,19,13,7,1,20,14,8,2,21,15,9,3
279.4623,46.1496,119,21,15,9,3,20,14,8,2,19,13,7,1,18,12,6,0
350.5377,46.1496,120,21,20,19,18,15,14,13,12,9,8,7,6,3,2,1,0
18.4349,48.5745,121,18,20,22,24,12,14,16,18,6,8,10,12,0,2,4,6
71.5651,48.5745,122,6,12,18,24,4,10,16,22,2,8,14,20,0,6,12,18
108.4349,48.5745,123,0,6,12,18,2,8,14,20,4,10,16,22,6,12,18,24
161.5651,48.5745,124,0,2,4,6,6,8,10,12,12,14,16,18,18,20,22,24
198.4349,48.5745,125,6,4,2,0,12,10,8,6,18,16,14,12,24,22,20,18
251.5651,48.5745,126,18,12,6,0,20,14,8,2,22,16,10,4,24,18,12,6
288.4349,48.5745,127,24,18,12,6,22,16,10,4,20,14,8,2,18,12,6,0
341.5651,48.5745,128,24,22,20,18,18,16,14,12,12,10,8,6,6,4,2,0
38.6598,49.3877,129,15,19,23,27,10,14,18,22,5,9,13,17,0,4,8,12
51.3402,49.3877,130,12,17,22,27,8,13,18,23,4,9,14,19,0,5,10,15
128.6598,49.3877,131,0,5,10,15,4,9,14,19,8,13,18,23,12,17,22,27
141.3402,49.3877,132,0,4,8,12,5,9,13,17,10,14,18,22,15,19,23,27
218.6598,49.3877,133,12,8,4,0,17,13,9,5,22,18,14,10,27,23,19,15
231.3402,49.3877,134,15,10,5,0,19,14,9,4,23,18,13,8,27,22,17,12
308.6598,49.3877,135,27,22,17,12,23,18,13,8,19,14,9,4,15,10,5,0
321.3402,49.3877,136,27,23,19,15,22,18,14,10,17,13,9,5,12,8,4,0
26.5651,52.6837,137,18,21,24,27,12,15,18,21,6,9,12,15,0,3,6,9
63.4349,52.6837,138,9,15,21,27,6,12,18,24,3,9,15,21,0,6,12,18
116.5651,52.6837,139,0,6,12,18,3,9,15,21,6,12,18,24,9,15,21,27
153.4349,52.6837,140,0,3,6,9,6,9,12,15,12,15,18,21,18,21,24,27
206.5651,52.6837,141,9,6,3,0,15,12,9,6,21,18,15,12,27,24,21,18
243.4349,52.6837,142,18,12,6,0,21,15,9,3,24,18,12,6,27,21,15,9
296.5651,52.6837,143,27,21,15,9,24,18,12,6,21,15,9,3,18,12,6,0
333.4349,52.6837,144,27,24,21,18,21,18,15,12,15,12,9,6,9,6,3,0
